index,from_dte,to_dte,from_date,to_date,start_time,end_time,run
NIFTY,5,4,01-01-2024,31-08-2026,09:15:00,15:29:00,TRUE
NIFTY,4,3,01-01-2024,31-08-2026,09:15:00,15:29:00,TRUE
NIFTY,3,2,01-01-2024,31-08-2026,09:15:00,15:29:00,TRUE
NIFTY,2,1,01-01-2024,31-08-2026,09:15:00,15:29:00,TRUE
SENSEX,5,4,01-01-2024,31-08-2026,09:15:00,15:29:00,TRUE
SENSEX,4,3,01-01-2024,31-08-2026,09:15:00,15:29:00,TRUE
SENSEX,3,2,01-01-2024,31-08-2026,09:15:00,15:29:00,TRUE
SENSEX,2,1,01-01-2024,31-08-2026,09:15:00,15:29:00,TRUE
